GATE_DS_SB: 979.9037><526.6403><793.1516><417.8863><2><><48><35
SB_J01: 2461.633><582.2226><1534.473><505.8408><1><Subterranean><252><78
SB_E02: 3242.633><645.2226><2182.474><578.8409><1><Subterranean><252><35
SB_G02: 4169.633><645.2226><2750.474><578.8409><1><Subterranean><362><35
SB_S05: 4770.951><647.9338><3502.628><579.1028><1><><48><35
SB_C07: 2643.633><532.2226><1834.473><367.8408><0><Subterranean><154><45
SB_J02: 3253.633><452.2225><2179.474><283.8415><0><Subterranean><252><78
SB_J03: 2580.633><384.2231><1677.473><136.8416><1><><504><37
SB_S02: 3112.524><315.7885><2501.136><0.1640039><1><><48><35
SB_I01: 492.6291><-372.7765><322.4754><-368.1585><2><Filtration System><152><120
SB_S01: 491.7859><-205.4242><212.1015><-179.0607><1><><48><35
SB_D06: 306.6288><-751.7774><300.4755><-725.1602><2><><48><154
SB_E05: 31.62895><-979.7774><-98.52436><-861.1591><1><Depths><262><35
SB_A14: -444.2289><-979.8977><-266.2424><-818.0804><1><Depths><54><35
SB_D02: -843.3718><-980.7774><-691.524><-813.1591><1><Depths><204><35
SB_A02: -709.3718><-874.7774><-446.5245><-599.1584><2><Depths><48><35
SB_J04: -1323.363><-885.7774><-1040.527><-650.1591><2><Depths><255><78
SB_A08: -1937.363><-933.7774><-1265.527><-644.1591><2><Depths><48><35
SB_B03: -2100.367><-882.7774><-1411.527><-652.1591><1><Depths><48><78
SB_A07: -1983.363><-1053.78><-1345.527><-854.1591><1><Depths><48><35
SB_E03: -1533.363><-974.7774><-1231.522><-812.1591><1><Depths><255><40
SB_D05: -1306.363><-1057.78><-974.528><-944.1591><0><Depths><204><35
SB_A06: -1269.363><-1166.781><-789.524><-1061.156><0><Depths><48><35
SB_A05: -985.3684><-1164.781><-624.524><-1028.158><0><Depths><48><35
SB_D03: -2481.367><-954.7774><-1857.527><-658.1591><1><Depths><204><35
SB_D07: -2786.367><-1236.782><-1903.527><-1097.156><1><Depths><48><150
SB_D01: -2501.992><-1526.146><-1794.058><-1216.713><1><Depths><104><78
SB_C08: -2050.306><-1573.187><-1561.261><-1214.298><1><Depths><152><35
SB_E01: -1393.99><-1568.146><-1245.058><-1216.713><1><Depths><252><35
SB_E06: -607.9982><-1579.146><-722.0562><-1221.713><1><Depths><268><35
SB_C09: -117.3108><-1698.187><-171.2565><-1387.298><1><Depths><54><120
SB_L01: 292.0021><-1937.146><-35.05617><-1553.713><1><Depths><210><126
GATE_SB_OE: -2019.943><585.6236><-1300.673><618.8575><1><><48><35
GATE_SB_VS: 2058.066><-39.54417><1633.869><-105.2676><2><><48><35
SB_E07: 1035.569><-127.1811><688.3239><-200.1733><2><Filtration System><151><80
SB_B04: 1174.629><-190.534><1009.176><-201.9353><2><Filtration System><48><74
SB_S10: 1267.194><-195.9318><1129.996><-320.4365><1><><48><35
SB_C10: 1155.713><45.1914><861.9799><17.42697><2><Filtration System><151><35
SB_G04: 1614.373><-115.7509><1124.404><-191.6918><2><Filtration System><247><72
SB_GOR01: -1507.838><546.0825><-1081.496><520.4611><1><Subterranean><192><35
SB_GOR02: -1702.231><661.6554><-1186.511><625.0847><1><Subterranean><146><44
SB_TESTB: -592.9307><671.306><-350.0051><745.1606><2><Subterranean><105><35
SB_TESTC: 254.0701><661.306><136.9953><739.1606><2><Subterranean><148><35
SB_C02: -200.5513><616.8064><-154.0197><638.3875><2><Subterranean><152><35
SB_TOPSIDE: -680.637><1501.812><-430.5661><1297.953><1><><96><35
SB_S09: -500.7114><1437.26><-220.2221><1296.015><1><><48><35
SB_J10: 47.76274><75.80773><-815.7547><-151.6158><1><><504><35
SB_C11: -941.577><226.2517><-934.8821><-143.3187><1><><48><114
GATE_CRTT_SB: -2778.427><429.501><-2070.491><392.9689><0><><230><95
SB_LSA01: -1865.401><533.5008><-1191.131><500.892><0><><48><35
SB_LSC01: -2139.401><468.5009><-1595.131><482.892><0><><192><35
OffScreenDen_SB: -277.3709><-310.7769><817.4749><269.8408><1><Subterranean><0><0
Connection: GATE_DS_SB,SB_D04,11,5,42,142,3,0
Connection: GATE_SB_SL,SB_G02,11,19,322,1,1,3
Connection: GATE_LF_SB,SB_F03,2,9,44,206,2,3
Connection: SB_F03,SB_TOPSIDE,44,226,11,10,1,3
Connection: SB_F03,SB_A10,44,139,5,12,3,2
Connection: SB_F03,SB_A09,10,56,45,16,2,0
Connection: SB_F03,SB_H03,38,16,130,75,3,2
Connection: SB_A09,SB_H03,6,3,7,72,3,2
Connection: SB_H03,SB_TESTB,130,47,11,14,3,3
Connection: SB_H03,SB_GOR01,4,9,181,5,2,0
Connection: SB_H03,SB_H02,196,9,6,47,0,2
Connection: SB_H03,SB_C11,86,3,24,108,3,1
Connection: SB_S06,SB_GOR01,42,2,155,11,0,2
Connection: SB_H02,SB_E04,199,47,5,12,0,2
Connection: SB_H02,SB_A03,199,21,3,11,0,2
Connection: SB_H02,SB_A04,11,20,48,27,2,0
Connection: SB_A04,SB_A13,3,25,45,25,2,0
Connection: SB_A04,SB_A01,48,6,3,17,0,2
Connection: SB_A01,SB_A11,6,4,5,21,3,1
Connection: SB_A01,SB_C01,48,7,5,4,0,3
Connection: SB_A11,SB_B01,45,16,8,13,0,3
Connection: SB_B01,SB_S07,34,19,24,16,3,1
Connection: SB_B01,SB_A12,96,2,3,9,3,2
Connection: SB_A12,SB_A03,41,29,40,3,0,3
Connection: SB_C01,SB_B02,138,10,7,7,3,3
Connection: SB_B02,SB_C05,104,9,27,110,3,1
Connection: SB_C05,SB_I01,25,17,16,115,3,1
Connection: SB_A03,SB_E04,46,31,27,8,1,3
Connection: SB_E04,SB_TESTC,107,34,138,10,1,3
Connection: SB_E04,SB_G03,244,12,6,5,0,2
Connection: SB_E04,SB_C06,128,5,25,115,3,1
Connection: SB_C06,SB_S03,39,76,39,24,3,1
Connection: SB_C06,SB_F02,19,20,21,116,3,1
Connection: SB_F02,SB_D04,98,97,3,10,0,2
Connection: SB_F02,SB_E07,95,35,8,52,0,2
Connection: SB_F02,SB_I01,10,12,68,117,3,1
Connection: SB_D04,SB_S04,2,146,11,13,1,2
Connection: SB_G03,SB_J01,347,5,10,8,0,2
Connection: SB_G03,SB_F01,174,7,95,94,3,0
Connection: SB_F01,SB_J03,70,73,4,19,3,2
Connection: SB_F01,SB_C10,10,12,72,23,3,3
Connection: SB_J01,SB_E02,239,43,4,7,0,2
Connection: SB_J01,SB_C07,175,8,19,8,3,3
Connection: SB_E02,SB_G02,247,26,3,25,0,2
Connection: SB_E02,SB_J02,11,2,7,69,3,1
Connection: SB_G02,SB_S05,354,7,14,6,0,2
Connection: SB_C07,SB_J02,146,6,5,49,0,2
Connection: SB_J02,SB_J03,232,68,500,34,1,1
Connection: SB_J03,SB_S02,423,10,11,17,2,1
Connection: SB_I01,SB_S01,84,117,32,25,1,0
Connection: SB_I01,SB_E07,146,115,3,5,1,2
Connection: SB_I01,SB_D06,13,16,23,144,3,3
Connection: SB_D06,SB_E05,26,15,224,17,3,1
Connection: SB_E05,SB_A14,2,18,48,18,2,0
Connection: SB_A14,SB_D02,3,24,200,24,2,0
Connection: SB_D02,SB_E03,3,5,251,6,2,0
Connection: SB_D02,SB_A05,74,5,41,32,3,1
Connection: SB_D02,SB_A02,133,8,11,6,3,3
Connection: SB_A02,SB_J04,3,29,252,55,2,0
Connection: SB_J04,SB_B03,3,54,44,55,2,0
Connection: SB_J04,SB_A08,8,8,44,3,2,0
Connection: SB_J04,SB_A06,165,10,43,33,3,1
Connection: SB_A08,SB_B03,3,11,44,16,2,0
Connection: SB_B03,SB_D03,1,19,195,22,2,0
Connection: SB_B03,SB_A07,43,3,5,33,3,1
Connection: SB_A07,SB_E03,45,30,3,6,0,2
Connection: SB_E03,SB_D05,141,7,10,3,0,2
Connection: SB_D05,SB_A06,95,2,4,30,0,2
Connection: SB_D05,SB_A05,186,3,2,32,0,2
Connection: SB_D03,SB_D07,14,3,37,145,3,1
Connection: SB_D07,SB_D01,40,11,2,65,0,2
Connection: SB_D01,SB_C08,95,11,3,5,0,2
Connection: SB_C08,SB_E01,149,5,3,5,0,2
Connection: SB_E01,SB_E06,245,5,5,7,0,2
Connection: SB_E06,SB_C09,263,17,5,99,0,2
Connection: SB_C09,SB_L01,47,23,3,106,0,2
Connection: GATE_SB_OE,SB_GOR02,45,9,15,12,0,3
Connection: GATE_SB_VS,SB_G04,1,10,237,54,2,0
Connection: SB_E07,SB_C10,132,70,92,5,3,3
Connection: SB_E07,SB_B04,105,60,15,64,3,1
Connection: SB_B04,SB_G04,31,19,23,6,1,3
Connection: SB_B04,SB_S10,38,20,17,18,1,2
Connection: SB_C10,SB_J10,3,31,494,29,1,0
Connection: SB_C10,SB_G04,108,11,23,60,3,1
Connection: SB_GOR01,SB_GOR02,70,28,70,12,1,3
Connection: SB_GOR01,SB_LSA01,18,5,43,8,2,0
Connection: SB_TESTB,SB_C02,95,2,4,13,3,3
Connection: SB_TESTC,SB_C02,5,4,142,13,3,0
Connection: SB_TOPSIDE,SB_S09,75,5,16,18,3,2
Connection: SB_J10,SB_C11,9,29,30,18,2,0
Connection: GATE_CRTT_SB,SB_LSC01,227,61,12,23,0,3
Connection: SB_LSA01,SB_LSC01,7,20,159,33,3,0
